tanggal,komoditas,nilai,satuan,tahun,bulan,split,nilai_norm_train_minmax,source_file,source_sheet,nama_asli,catatan
2024-04-01,Jagung,987.9304441561272,Ton,2024,4,stress_test,1.1069248674018233,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-05-01,Jagung,1205.8104441561322,Ton,2024,5,stress_test,1.3510481167015487,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-06-01,Jagung,92.65166666666664,Ton,2024,6,stress_test,0.1038113912231559,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-07-01,Jagung,52.15999999999988,Ton,2024,7,stress_test,0.058442577030812196,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-08-01,Jagung,37.0116129032256,Ton,2024,8,stress_test,0.0414695942893284,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-09-01,Jagung,25.66322580645136,Ton,2024,9,stress_test,0.028754314629077155,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-10-01,Jagung,16.744516129032018,Ton,2024,10,stress_test,0.018761362609559684,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-11-01,Jagung,10.097505376343866,Ton,2024,11,stress_test,0.011313731514110775,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2024-12-01,Jagung,72.82580645161266,Ton,2024,12,stress_test,0.08159754224270327,rekap ketersediaan 2024.xlsx,Sheet1,Jagung,
2019-01-01,Bawang Merah,278.47049999999996,Ton,2019,1,train,0.001408482142857126,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-02-01,Bawang Merah,325.5,Ton,2019,2,train,0.020495129870129872,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-03-01,Bawang Merah,309.75,Ton,2019,3,train,0.014103084415584416,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-04-01,Bawang Merah,315.0,Ton,2019,4,train,0.016233766233766232,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-05-01,Bawang Merah,400.0,Ton,2019,5,train,0.05073051948051948,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-06-01,Bawang Merah,750.0,Ton,2019,6,train,0.19277597402597402,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-07-01,Bawang Merah,275.0,Ton,2019,7,train,0.0,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-08-01,Bawang Merah,275.0,Ton,2019,8,train,0.0,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
